PDWtype, DwellIndex, PulseID, UserData, MaxChan, Bin, PW, TOA, FirstFreq, LastFreq, LogAmpA, LogAmpB, LogAmpC, LogAmpD, HLQAmpA, HLQAmpB, HLQAmpC, HLQAmpD, DiffPhaseA, DiffPhaseB, DiffPhaseC, DiffPhaseD, SatDet, Blanking, QPSK, BPSK, PMOP, HLQ, PoP, FE, RE, CH, OV, CoarseTOD, CoarseTOA, FMOPRate_kHz_Per_usec, FMOPExcursion, PMOPTrans, PMOPMinChip, RTTP_TOA_Match_Index1, RTTP_TOA_Match_Index2, RTTP_TOA_Match_Index3, RTTP_TOA_Cell_Index, TunePhaseStep, IFMode, Decim, PMOPWindowLen, FMOPWindowLen
1, 3, 35, 0, 1, 9, 0.0000006947, 0.0758781667, 3020188110.3515625000, 3020188110.3515625000, 54.2675781250, 57.1542968750, 56.6367187500, 52.5449218750, 0, 0, 0, 0, 0, 21.2695312500, 26.2518310547, 204.9499511719, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 36, 0, 1, 9, 0.0000006855, 0.0776281771, 2990114135.7421875000, 2990114135.7421875000, 55.1914062500, 58.3125000000, 57.6484375000, 54.2675781250, 0, 0, 0, 0, 0, 15.8972167969, 12.9199218750, 195.9960937500, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 37, 0, 1, 11, 0.0000002995, 0.0793785312, 3085858154.2968750000, 3085858154.2968750000, 54.1679687500, 57.1542968750, 56.2968750000, 51.7988281250, 0, 0, 0, 0, 0, 49.0100097656, 66.3574218750, 214.4421386719, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 38, 0, 1, 10, 0.0000003164, 0.0811282917, 3047178222.6562500000, 3047178222.6562500000, 54.6621093750, 57.4082031250, 56.5078125000, 52.6269531250, 0, 0, 0, 0, 0, 31.6076660156, 37.9028320313, 205.7189941406, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 39, 0, 1, 10, 0.0000004134, 0.0828781966, 3034297851.5625000000, 3034297851.5625000000, 55.4257812500, 58.5019531250, 57.5546875000, 53.3867187500, 0, 0, 0, 0, 0, 24.5928955078, 31.6571044922, 203.4283447266, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 40, 0, 1, 11, 0.0000002943, 0.0846285924, 3099505371.0937500000, 3099505371.0937500000, 51.7519531250, 55.0976562500, 53.5507812500, 48.1660156250, 0, 0, 0, 0, 0, 57.2058105469, 75.5639648438, 227.8948974609, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 41, 0, 1, 11, 0.0000003939, 0.0863781582, 3077302368.1640625000, 3077302368.1640625000, 52.8691406250, 55.5019531250, 54.9785156250, 50.3398437500, 0, 0, 0, 0, 0, 46.1260986328, 59.0625000000, 211.7230224609, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 42, 0, 1, 10, 0.0000003320, 0.0863785417, 3048863525.3906250000, 3048863525.3906250000, 54.1855468750, 57.0078125000, 55.9433593750, 52.0566406250, 0, 0, 0, 0, 0, 34.1619873047, 39.7869873047, 206.1199951172, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 43, 0, 1, 10, 0.0000006927, 0.0881281875, 3032500854.4921875000, 3032500854.4921875000, 54.6621093750, 57.6953125000, 56.8496093750, 52.6035156250, 0, 0, 0, 0, 0, 23.2580566406, 30.7287597656, 203.8623046875, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 44, 0, 1, 9, 0.0000004232, 0.0898781979, 3027259277.3437500000, 3027259277.3437500000, 54.5625000000, 57.5429687500, 56.8496093750, 52.6035156250, 0, 0, 0, 0, 0, 21.1706542969, 28.2293701172, 203.5711669922, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
